symbol,entry_idx,r,oversold,bullish_div
AAVEUSDT,3201,-1.0,False,True
AAVEUSDT,3687,2.0,False,True
AAVEUSDT,4734,-1.0,False,True
ALGOUSDT,572,-1.0,False,True
ATOMUSDT,3202,-1.0,False,True
ATOMUSDT,4756,2.0,False,True
BANDUSDT,1463,-1.0,False,True
BANDUSDT,5250,-1.0,False,True
BATUSDT,2756,-1.0,False,True
BATUSDT,3833,2.0,False,True
BATUSDT,4142,2.0,False,True
COMPUSDT,1456,2.0,False,True
CRVUSDT,655,1.5427901524032863,False,True
DASHUSDT,3967,-1.0,False,True
EGLDUSDT,2199,2.0,False,True
EGLDUSDT,3619,2.0,False,True
ENJUSDT,2932,-1.0,False,True
ENJUSDT,4130,-1.0,False,True
ENJUSDT,4946,-1.0,False,True
ETCUSDT,921,-1.0,False,True
ETCUSDT,1473,-1.0,True,False
ETCUSDT,2937,-1.0,False,True
ETCUSDT,3689,2.0,False,True
ETCUSDT,4595,-1.0,False,True
ETCUSDT,4712,2.0,False,True
ICXUSDT,655,1.3801261829653009,False,True
ICXUSDT,2744,-1.0,False,True
ICXUSDT,3228,1.9999999999999978,False,True
IOSTUSDT,3132,2.0,False,True
KAVAUSDT,2497,-1.0,False,True
KAVAUSDT,3259,-1.0,False,True
KAVAUSDT,3613,-1.0,False,True
KAVAUSDT,4385,2.0,False,True
KSMUSDT,4043,-1.0,False,True
KSMUSDT,5100,2.0,False,True
KSMUSDT,5425,-1.0,False,True
NEOUSDT,1467,-1.0,False,True
NEOUSDT,3202,-1.0,False,True
NEOUSDT,4134,-1.0,False,True
ONTUSDT,2353,-1.0,False,True
ONTUSDT,3060,-1.0,False,True
QTUMUSDT,3768,-1.0,False,True
RLCUSDT,476,0.5262147976748118,False,True
RLCUSDT,574,0.08450457806030079,False,True
RLCUSDT,1497,-1.0,False,True
RLCUSDT,2341,-1.0,False,True
RLCUSDT,5425,-1.0,False,True
SNXUSDT,574,-1.0,False,True
SNXUSDT,3965,-1.0,False,True
STORJUSDT,2341,-1.0,False,True
STORJUSDT,3460,-1.0,False,True
STORJUSDT,3769,-1.0,False,True
STORJUSDT,4122,-1.0,False,True
STORJUSDT,4702,-1.0,False,True
SUSHIUSDT,2436,2.0,False,True
SUSHIUSDT,3456,-1.0,False,True
THETAUSDT,655,2.0000000000000013,False,True
THETAUSDT,901,-1.0,False,True
THETAUSDT,3833,2.0,False,True
THETAUSDT,4134,-1.0,False,True
THETAUSDT,4858,-1.0,False,True
TRBUSDT,1380,-1.0,False,True
TRBUSDT,4599,-1.0,False,True
TRBUSDT,4702,-1.0,False,True
UNIUSDT,4712,2.0,False,True
VETUSDT,792,-1.0,False,True
VETUSDT,2392,-1.0,False,True
VETUSDT,4739,0.21810582312149826,False,True
VETUSDT,4775,-1.0,False,True
XLMUSDT,923,-1.0,False,True
XLMUSDT,4594,-1.0,False,True
XTZUSDT,3618,-1.0,False,True
YFIUSDT,2349,-1.0,False,True
ZECUSDT,445,-1.0,False,True
ZECUSDT,572,0.03552172534094753,False,True
ZECUSDT,1011,-1.0,False,True
ZECUSDT,1410,-1.0,False,True
ZECUSDT,2842,2.000000000000003,False,True
ZECUSDT,4699,-1.0,False,True
ZECUSDT,4774,-1.0,False,True
ZRXUSDT,501,2.0,False,True
ZRXUSDT,784,-1.0,False,True
ZRXUSDT,3618,1.9999999999999964,False,True
